from,to,lithology
0,1,Conglomerate
1,2,Greywacke
2,3,Syenite
3,4,Conglomerate
4,5,Sandstone
5,6,Conglomerate
6,7,Syenite
7,8,Conglomerate
8,9,Conglomerate
9,10,Sandstone
10,11,Greywacke
11,12,Syenite
12,13,Conglomerate
13,14,Sandstone
14,15,Sandstone
15,16,Conglomerate
16,17,Sandstone
17,18,Sandstone
18,19,Conglomerate
19,20,Conglomerate
20,21,Greywacke
21,22,Sandstone
22,23,Sandstone
23,24,Syenite
24,25,Syenite
25,26,Conglomerate
26,27,Sandstone
27,28,Greywacke
28,29,Conglomerate
29,30,Syenite
30,31,Greywacke
31,32,Sandstone
32,33,Sandstone
33,34,Sandstone
34,35,Sandstone
35,36,Conglomerate
36,37,Conglomerate
37,38,Conglomerate
38,39,Syenite
39,40,Sandstone
40,41,Syenite
41,42,Greywacke
42,43,Meta_Ultramaf
43,44,Sandstone
44,45,Sandstone
45,46,Sandstone
46,47,Greywacke
47,48,Greywacke
48,49,Greywacke
49,50,Syenite
50,51,V_Sandstone
51,52,V_Sandstone
52,53,Limestone
53,54,Greywacke
54,55,Greywacke
55,56,V_Sandstone
56,57,Greywacke
57,58,V_Sandstone
58,59,V_Sandstone
59,60,Syenite
60,61,V_Sandstone
61,62,Greywacke
62,63,V_Sandstone
63,64,Limestone
64,65,Limestone
65,66,Greywacke
66,67,Limestone
67,68,Greywacke
68,69,V_Sandstone
69,70,V_Sandstone
70,71,Greywacke
71,72,Limestone
72,73,Greywacke
73,74,Limestone
74,75,V_Sandstone
75,76,Limestone
76,77,Greywacke
77,78,V_Sandstone
78,79,Greywacke
79,80,Peridotite
80,81,Peridotite
81,82,Porphyry
82,83,Peridotite
83,84,Porphyry
84,85,Peridotite
85,86,Peridotite
86,87,Conglomerate
87,88,Porphyry
88,89,Peridotite
89,90,Peridotite
90,91,Porphyry
91,92,Peridotite
92,93,Peridotite
93,94,Porphyry
94,95,Porphyry
95,96,Peridotite
96,97,Porphyry
97,98,Porphyry
98,99,Porphyry
99,100,Porphyry
100,101,Peridotite
101,102,Peridotite
102,103,Porphyry
103,104,Peridotite
104,105,Peridotite
105,106,Peridotite
106,107,Peridotite
107,108,Limestone
108,109,V_Breccia
109,110,Limestone
110,111,Sandstone
111,112,Limestone
112,113,Limestone
113,114,Sandstone
114,115,Sandstone
115,116,Sandstone
116,117,Sandstone
117,118,V_Breccia
118,119,Limestone
119,120,Limestone
120,121,Sandstone
121,122,V_Breccia
122,123,Conglomerate
123,124,Granite
124,125,V_Conglomerate
125,126,Conglomerate
126,127,Conglomerate
127,128,Granite
128,129,Conglomerate
129,130,Conglomerate
130,131,Conglomerate
131,132,Granite
132,133,Granite
133,134,Conglomerate
134,135,Granite
135,136,Granite
136,137,Conglomerate
137,138,Granite
138,139,V_Conglomerate
139,140,V_Conglomerate
140,141,V_Conglomerate
141,142,V_Conglomerate
142,143,Granite
143,144,V_Conglomerate
144,145,V_Conglomerate
145,146,Conglomerate
146,147,Granite
147,148,Conglomerate
148,149,Conglomerate
149,150,Conglomerate
150,151,Granite
151,152,V_Conglomerate
152,153,V_Conglomerate
153,154,Granite
154,155,V_Conglomerate
155,156,Conglomerate
156,157,Granite
157,158,V_Conglomerate
158,159,Conglomerate
159,160,V_Conglomerate
160,161,Conglomerate
161,162,Conglomerate
162,163,Conglomerate
163,164,Conglomerate
164,165,Granite
165,166,Conglomerate
166,167,Conglomerate
167,168,Conglomerate
168,169,Granite
169,170,Granite
170,171,V_Conglomerate
171,172,V_Conglomerate
172,173,V_Conglomerate
173,174,Pelite
174,175,Porphyry
175,176,Pelite
176,177,Porphyry
177,178,Pelite
178,179,Pelite
179,180,Porphyry
180,181,Porphyry
181,182,Porphyry
182,183,V_Sandstone
183,184,V_Sandstone
184,185,Porphyry
185,186,Pelite
186,187,Porphyry
187,188,Porphyry
188,189,V_Sandstone
189,190,V_Sandstone
190,191,V_Sandstone
191,192,Porphyry
192,193,Pelite
193,194,Pelite
194,195,V_Sandstone
195,196,Pelite
196,197,Schist
197,198,Porphyry
198,199,Granite
199,200,Porphyry
200,201,Porphyry
201,202,Granite
202,203,Porphyry
203,204,Meta_Sediment
204,205,Granite
205,206,Granite
206,207,Granite
207,208,Granite
208,209,Granite
209,210,Porphyry
210,211,Granite
211,212,Granite
212,213,Peridotite
213,214,V_Sandstone
214,215,V_Sandstone
215,216,Phyllite
216,217,Porphyry
217,218,Pelite
218,219,Pelite
219,220,V_Sandstone
220,221,Phyllite
221,222,Porphyry
222,223,Phyllite
223,224,V_Sandstone
224,225,Phyllite
225,226,Phyllite
226,227,Porphyry
227,228,Phyllite
228,229,Phyllite
229,230,V_Sandstone
230,231,V_Sandstone
231,232,V_Sandstone
232,233,Porphyry
233,234,Pelite
234,235,Porphyry
235,236,Porphyry
236,237,Phyllite
237,238,V_Sandstone
238,239,Porphyry
239,240,V_Breccia
240,241,V_Breccia
241,242,V_Breccia
242,243,Granite
243,244,Porphyry
244,245,Granite
245,246,Granite
246,247,V_Breccia
247,248,Schist
248,249,Granite
249,250,Porphyry
250,251,Granite
251,252,Porphyry
252,253,Granite
253,254,Granite
254,255,Granite
255,256,Granite
256,257,V_Breccia
257,258,Granite
258,259,Porphyry
259,260,Porphyry
260,261,V_Breccia
261,262,Granite
262,263,Granite
263,264,Porphyry
264,265,Granite
265,266,Porphyry
266,267,Porphyry
