UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,,,
Annean Supersuite,"tonalite, pegmatites",2820,2733,,,
Archean-Proterozoic metasiliciclastic unit,"quartzite, sedimentary rock",4000,541,,,
Archean-Proterozoic sedimentary siliciclastic unit,"shale, siltstone",4000,541,,,
Atley Igneous Complex,gabbro,2813,2813,,,
"Atley Igneous Complex, border zone","dolerite, gabbro, gabbronorite",2813,2813,,,
"Atley Igneous Complex, middle zone","dolerite, gabbro",2813,2813,,,
"Atley Igneous Complex, upper zone","gabbro, gabbro, leucogabbro, gabbronorite",2813,2813,,,
Barlangi Granophyre,"monzogranite, granite",2229,2229,,,
Barrambie Igneous Complex,peridotite,2814,2814,,,
Bassetts Volcanic Member,"basalt, boninitic",2800,2760,,,
Big Bell Suite,"monzogranite, dolerite",2690,2686,,,
Buddadoo Gabbro,"gabbro, magnetitite, diorite",2813,2813,,,
Chunderloo Monzogranite,"monzogranite, amphibolite",2665,2640,,,
Coodardy Pool Formation,banded_iron_formation,2800,2790,,,
Cootharra Monzogranite,monzogranite,2650,2600,,,
Corner Well Gabbro Member,gabbro,2813,2813,,,
Courin Granodiorite,"tonalite, monzogranite, diorite",2742,2742,,,
Courlbarloo Tonalite,tonalite,2813,2813,,,
Cover,"mud, ferricrete, colluvium, alluvium",10,0,,,
Crossroads Granodiorite,"granodiorite, monzogranite",2724,2724,,,
Cue Tonalite,tonalite,2759,2759,,,
Cullculli Suite,tonalite,2787,2733,,,
Cundimurra Monzogranite,monzogranite,2670,2670,,,
Dromedary Bore Granite,granodiorite,2945,2945,,,
Edamurta Gabbro,"anorthosite, leucogabbro",2820,2733,,,
Fields Find Igneous Complex,"dolerite, gabbro, ",2799,2799,,,
Finlayson Member,"arenite, conglomerate, siltstone",2170,1600,,,
Fleece Pool Gabbro,"leucogabbro, gabbro, gabbronorite",2735,2735,,,
Garden Rock Monzogranite,"monzogranite, syenogranite",2650,2617,,,
Glen Group,basalt,2735,2700,,,
Gnanagooragoo Igneous Complex,"ultramafic, serpentinite",2792,2792,,,
Gnows Nest Granodiorite,"granodiorite, tonalite",2951,2951,,,
Golden Grove Member,"rhyodacite, dacite, felsic volcaniclastic",2963,2963,,,
Goonetarra Granodiorite,"monzogranite, syenogranite",2763,2749,,,
Gossan Hill Formation,"rhyolite, dacitic",2963,2947,,,
Gossan Valley Member,"rhyolite, felsic volcaniclastic",2959,2959,,,
Greensleeves Formation,rhyolite,2760,2735,,,
Illgalara Monzogranite,granite,2665,2640,,,
Juderina Formation,"sandstone, shale, siltstone, chert, breccia, conglomerate",2170,1600,,,
Jungar Suite,"monzogranite, granodiorite, syenogranite, pegmatite",2648,2648,,,
Kantie Murdana Volcanics Member,"psammitic, pelitic schist",2813,2813,,,
Karbar Monzogranite,monzogranite,2697,2665,,,
Kynea Migmatite,"gneiss, monzogranite",2950,2950,,,
Lady Alma Igneous Complex,magnetitite,2813,2813,,,
Lordy Basalt Member,"maficvolcanic, komatiitic basalt",2800,2760,,,
Madoonga Formation,"rhyolite, psammite",2979,2969,,,
Marlomumbah Granite,granite,2606,2606,,,
Meekatharra Formation,"basalt, amphibolite",2800,2760,,,
Minjar Member,"felsic volcaniclastic, basalt, sedimentary rock",2947,2947,,,
Mougooderra Formation,"siltstone, sandstone",2758,2700,,,
Mount Kenneth Suite,granite,2815,2800,,,
Mulgine Granite,tonalite,2756,2756,,,
Munarra Monzogranite,"monzogranite, granodiorite, diorite, microgranite",2670,2670,,,
Nannine Tonalite,tonalite,2787,2782,,,
Narndee Igneous Complex,"dolerite, gabbro",2799,2799,,,
"Narndee Igneous Complex, lower zone",serpentinite,2799,2799,,,
"Narndee Igneous Complex, middle zone","leucogabbronorite, gabbronorite",2799,2799,,,
"Narndee Igneous Complex, ultramafic zone",dunite,2799,2799,,,
Narryer Terrane granitic unit,granite,3731,2608,,,
Narryer Terrane greenstones,ultramafic rock,3100,2700,,,
Narryer Terrane metagranitic unit,gneiss,3731,3292,,,
Ninghan Gabbro,dolerite,2801,2792,,,
Noongal Gabbro,peridotite,2801,2792,,,
Norie Group,banded_iron_formation,2825,2800,,,
