top,base,comp lithology
1,5,ferricrete
10,20,mud
20,35,mafic
35,42,mafic
42,44,mafic
44,64,basalt
64,98,basalt
98,119.9,basalt
119,189.55,vein
189,190.45,vein
190,196.4,mylonite
205,214.15,dolerite
214,261.35,dolerite
261,269.15,vein
269,282.4,dolerite
291,298.4,dolerite
298,299.15,dolerite
299,319.2,dolerite
319,324.1,dolerite
325,330.85,banded_iron_formation
332,342.8,basalt
342,345.55,basalt
345,389.7,basalt
389,396.97,basalt
396,397.51,breccia
397,399.8,basalt
410,414.8,vein
438,443.93,vein
443,448.12,basalt
448,449.4,basalt
448,448.65,vein
449,476.1,vein
476,496.5,vein
497,501.7,vein
501,506,basalt
506,506.4,dolerite
564,568.9,basalt
575,587.7,banded_iron_formation
587,599.1,vein
599,616,basalt
