top,base,comp lithology
0,1,colluvium
1,2,colluvium
2,4,colluvium
47,50,tuff
50,51,tuff
51,59,porphyry
59,61,porphyry
61,72,porphyry
72,74,porphyry
74,76,conglomerate
76,77,conglomerate
77,85,porphyry
85,86,conglomerate
86,87,conglomerate
87,99,porphyry
99,102.3,porphyry
140,303.72,conglomerate
303,304.27,pegmatite
304,316.38,conglomerate
316,325.25,pegmatite
325,341.45,conglomerate
341,341.93,pegmatite
341,356.56,conglomerate
356,358.27,pegmatite
358,359.37,conglomerate
359,366.8,pegmatite
366,369.78,conglomerate
369,370.22,pegmatite
370,387.42,conglomerate
387,387.78,pegmatite
387,449.52,conglomerate
449,451.3,pegmatite
451,465.67,conglomerate
465,466.77,pegmatite
466,473.01,conglomerate
473,473.66,pegmatite
473,491.6,conglomerate
491,492.2,pegmatite
492,492.6,conglomerate
492,493.7,pegmatite
493,498.67,conglomerate
498,498.93,pegmatite
498,501.5,conglomerate
501,503.9,pegmatite
503,505,conglomerate
505,505.9,pegmatite
505,508.5,conglomerate
508,523.5,conglomerate
523,523.88,pegmatite
523,531.41,conglomerate
531,535,basalt
535,544.6,breccia
544,548.7,breccia
548,558,basalt
558,560.25,basalt
560,571.4,basalt
571,572.6,basalt
572,577.1,basalt
577,579.4,basalt
579,582,basalt
582,587.5,basalt
587,587.7,massive_sulphide
587,591,basalt
591,592.44,basalt
592,595.7,schist
595,596.23,vein
596,609,schist
609,609.7,basalt
609,610.1,basalt
610,610.3,vein
610,612.15,basalt
612,620.8,basalt
620,621.35,schist
621,621.95,mafic
621,624.75,schist
624,631.25,basalt
631,632.9,schist
632,637.3,basalt
637,641.85,dolerite
641,642.25,sandstone
649,650.7,sandstone
651,651.6,basalt
651,652,schist
652,652.5,basalt
653,654.3,schist
654,656,schist
656,657.7,basalt
659,659.65,schist
662,662.95,pegmatite
666,666.63,schist
669,671.62,schist
671,672.4,basalt
672,673.53,schist
673,679,mafic
679,682,amphibolite
682,688.65,mafic
688,691.7,mafic
691,696.5,mafic
696,697.46,mafic
697,697.87,massive_sulphide
697,698.08,massive_sulphide
698,698.4,massive_sulphide
698,699.3,dolerite
699,703,dolerite
703,720.3,dolerite
720,723.33,mafic
723,727,dolerite
727,733.2,dolerite
733,740.4,dolerite
740,741.3,dolerite
741,741.8,dolerite
741,743.8,sandstone
743,745.9,dolerite
745,756.5,dolerite
756,760,dolerite
760,765,dolerite
765,769,dolerite
769,773,basalt
773,774.2,dolerite
774,775.63,basalt
788,790,basalt
790,803.8,basalt
803,805.25,basalt
805,807.3,basalt
807,809.45,basalt
809,813.3,basalt
813,815.2,dolerite
815,816.4,basalt
816,818,basalt
818,818.5,basalt
818,839,basalt
839,840.17,basalt
840,842.46,schist
842,846.8,basalt
846,847.65,basalt
847,858,basalt
858,858.6,basalt
858,859.6,basalt
859,862.55,basalt
862,865.82,schist
865,868,pegmatite
868,870.65,basalt
870,872.18,dolerite
872,872.64,basalt
872,873.75,dolerite
873,879,dolerite
879,882.6,dolerite
882,884.56,basalt
884,885.8,dolerite
885,894.5,basalt
894,897.65,pegmatite
897,900.45,basalt
900,903.32,schist
903,908,basalt
908,908.9,schist
908,928,basalt
928,936.5,basalt
936,958,basalt
958,963.8,basalt
963,965.95,basalt
965,967.6,schist
967,969.5,basalt
969,977,basalt
977,981,basalt
981,982.87,basalt
984,988.7,basalt
988,991,basalt
991,992.9,basalt
992,993.6,mafic
993,994.2,mafic
994,999,basalt
999,1001,basalt
1001,1003,basalt
1003,1004.44,basalt
1004,1006.75,schist
1006,1007.8,mafic
1007,1008.75,basalt
1008,1009.25,mafic
1009,1010.5,mafic
1010,1015,basalt
1015,1021.2,basalt
1021,1033.75,basalt
1033,1036.35,basalt
1036,1038,basalt
1038,1049.26,basalt
1049,1050.1,basalt
1050,1050.75,basalt
1050,1050.97,vein
1050,1051.64,basalt
1051,1052.46,porphyry
1052,1062.27,basalt
1062,1068.52,porphyry
1068,1071.51,basalt
1071,1073.45,porphyry
1073,1078.23,basalt
1078,1080.07,porphyry
1080,1082.33,basalt
1082,1082.7,porphyry
1082,1089.57,basalt
1089,1089.92,porphyry
1089,1134.35,basalt
1134,1150.51,pegmatite
1150,1159.89,basalt
1159,1161.13,sediment
1161,1165.28,basalt
1165,1165.86,sediment
1165,1167.06,basalt
1167,1168.97,sediment
1168,1171.99,basalt
1171,1181.85,basalt
1181,1182.48,sediment
1182,1184.97,basalt
1184,1185.24,tuff
1185,1185.56,felsic
1185,1188.58,tuff
1188,1200.72,tuff
1202,1203.66,tuff
1203,1204.47,pegmatite
1204,1205.95,sandstone
1205,1208.46,tuff
1208,1223.7,pegmatite
