UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Abydos Monzogranite,Porphyritic biotite--titanite metamonzogranite; feldspar and quartz phenocryts; moderate to strong foliation,2945.0,2919.0,"monzogranite,metasomatic_rock,vein","101,59,100"
Ahern Formation,"Fine- to coarse-grained quartz sandstone; minor pebbly sandstone, conglomerate, and siltstone",1000.0,720.0,"sandstone,sandstone,conglomerate,mudstone","101,101,101,101"
Aileron Province granitic unit,Granitic rock,1840.0,1630.0,granitoid,89
Albert Edward Group,"Siltstone, mudstone, dolostone, and conglomerate",635.0,541.0,"mudstone,mudstone,dolostone,conglomerate","101,101,101,101"
Alcurra Dolerite,"Dolerite in dykes, sills, or plugs, with olivine gabbro, olivine norite, ferronorite, and ferrodiorite",1068.0,1067.0,"dolerite,mud,gabbro,gabbroid,gabbroid,granodiorite","100,75,101,101,71,75"
Alexander Formation,"Fine- to medium-grained sandstone, mudstone",163.5,152.1,"sandstone,mudstone","101,101"
Allanson Sandstone,"Poorly sorted feldspathic sandstone; lesser pebble conglomerate, siltstone, carbonaceous; local coal",290.1,283.5,"sandstone,conglomerate,mudstone,carbonate,coal","101,101,101,76,101"
Amhurst Metamorphics,Granitic gneiss and metasedimentary rock,1872.0,1860.0,"gneiss,iron_sediment","101,67"
Andover Intrusion,"Gabbro, leucogabbro, serpentinized peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed",3020.0,3012.0,"gabbro,dolerite,peridotite,dacite,pyroxenite,anorthosite","101,73,101,80,101,101"
Angas Hill Formation,"Interbedded conglomerate and sandstone, minor mudstone",635.0,510.0,"conglomerate,sandstone,mudstone","101,101,101"
Anketell Formation,Fine-grained sandstone and siltstone; lesser coarse-grained sandstone and conglomerate,145.0,113.0,"sandstone,mudstone,sandstone,conglomerate","101,101,101,101"
Annabelle Volcanics,Metamorphosed dacitic and andesitic volcaniclastic and volcanic rocks; minor basalt and rhyolite,2958.0,2958.0,"dacitoid,andesite,felsic,basalt,rhyolite","80,84,62,101,101"
Annean Supersuite,"tonalite, pegmatites",2820.0,2733.0,"granodiorite, pegmatites, dolerite, sedimentary_rock, tonalite, peridotite, granite",-1
Antrim Plateau Volcanics,"Vesicular, amygdaloidal, and porphyritic basalt and basaltic breccia; minor interbedded conglomerate, sandstone, siltstone, limestone, and localised stromatolitic and laminated chert",508.0,505.0,"basaltoid,basalt,breccia,conglomerate,sandstone,mudstone,limestone,migmatite,chert","57,101,101,101,101,101,101,55,101"
Antrim Plateau Volcanics and Lally Conglomerate,Flood basalts with lesser siliciclastic sedimentary rocks,521.0,505.0,"basalt,conglomerate","101,56"
Apex Basalt,"Basalt, komatiitic basalt, serpentinized peridotite; local dolerite sills; minor felsic volcaniclastic rocks and chert; metamorphosed",3459.0,3448.0,"basalt,basalt,peridotite,dolerite,felsic,chert","101,101,101,100,100,000"
Archean--Proterozoic metasiliciclastic unit,Quartzite and quartz-rich metasedimentary rock,4000.0,541.0,"quartzite,iron_sediment","101,67"
Archean-Proterozoic metasiliciclastic unit,"quartzite, sedimentary rock",4000.0,541.0,"quartzite, sedimentary rock",-1
Archean-Proterozoic sedimentary siliciclastic unit,"shale, siltstone",4000.0,541.0,"shale, siltstone",-1
Argus Igneous Complex,"Amphibolite derived from gabbro and meta-anorthosite, and locally interleaved talc-serpentine-chlorite schist",2763.0,2711.0,"amphibolite,schist","101,101"
Argyle Lamproite,Volcaniclastic olivine lamproite intruded by olivine--phlogopite lamproite dykes,1177.0,1177.0,"lamproite,lamproite","101,100"
Arid Basin unit,"Psammitic and semipelitic gneiss, locally garnet-rich; interlayered with mafic amphibolite to granulite and granitic gneiss",1600.0,1305.0,"pisolith,gneiss,amphibolite,granulite,gneiss","75,101,101,101,101"
Ashburton Formation,"Basaltic pillow lava and pillow breccia, massive lava, and fine- to coarse-grained mafic volcaniclastic sandstone",2008.0,1796.0,"basalt, chert, gravel, felsic, bituminous_coal, sandstone, breccia, mafic, dolostone, greenschist, lag, mudstone","74,82,57,101"
Atley Igneous Complex,gabbro,2813.0,2813.0,"pyroxenite, coarse_grained_plutonic_crystalline_igneous_rock, gabbroid, dolerite, gabbro",-1
Atley Igneous Complex  border zone,"dolerite, gabbro, gabbronorite",2813.0,2813.0,"dolerite, gabbro, gabbronorite",-1
Atley Igneous Complex  middle zone,"dolerite, gabbro",2813.0,2813.0,"pyroxenite, dolerite, gabbro, serpentinite",-1
Atley Igneous Complex  upper zone,"gabbro, gabbro, leucogabbro, gabbronorite",2813.0,2813.0,"gabbronorite, gabbroid, spilite, dolerite, leucogabbro, magnetitite, gabbro",-1
Badgeradda Basin metamorphosed unit,Metamorphosed siliciclastic rock and minor ?mafic volcanic rock; may correlate with Badgeradda Group and Nilling Formation,1600.0,541.0,"siliciclastic_sediment,mafic","63,100"
Balpe Lakes Monzogranite,"Monzogranite; fine to medium-grained, equigranular; massive to weakly foliated; margins may be strongly foliated",2643.0,2643.0,"monzogranite,bituminous_coal","101,62"
Balwina Granite,Muscovite and biotite monzogranite; locally porphyritic; minor biotite granodiorite; highly magnetic,1795.0,1795.0,"carbonatite,monzogranite,granodiorite","71,101,101"
Bamboo Springs Monzogranite,Biotite monzogranite; K-feldspar porphyritic; coarse grained; magmatic foliation,2927.0,2927.0,"monzogranite,migmatite","101,75"
Bandalup Ultramafics,Metamorphosed komatiitic basalt and pyroxenite; minor high-Mg basalt; tremolite- and talc-rich schist,3131.0,2958.0,"basalt,pyroxenite,basalt,gabbroid,schist","101,101,101,74,101"
Barbwire Sandstone,"Sandstone, lesser conglomerate; minor siltstone",174.1,157.3,"sandstone,conglomerate,mudstone","101,101,101"
Barlangi Granophyre,"monzogranite, granite",2229.0,2229.0,"alkali_feldspar_syenite, granite, monzogranite",-1
Barrambie Igneous Complex,peridotite,2814.0,2814.0,"pyroxenite, peridotite, magnetitite, gabbro, anorthosite",-1
Baseline Orthogneiss,Migmatitic orthogneiss,2769.0,2765.0,orthogneiss,101
Bassetts Volcanic Member,"basalt, boninitic",2800.0,2760.0,"basalt, boninitic",-1
Bastion Group,"Sandstone, siltstone, and mudstone",1797.0,1640.0,"sandstone,mudstone,mudstone","101,101,101"
Beabea Monzogranite,Biotite monzogranite; equigranular to feldspar porphyritic; weakly to moderately foliated,2941.0,2941.0,"monzogranite,metasomatic_rock","101,59"
Beasley River Quartzite,"Fine- to coarse-grained, silicified quartz sandstone; ferruginous conglomerate, sandstone, and pebbly sandstone; siltstone and dolostone; intruded by Balgara Dolerite sills",2208.0,2208.0,"sandstone,conglomerate,sandstone,sandstone,mudstone,dolostone,dolerite","101,101,101,101,101,000,000"
Bellary Formation,Siliciclastic sedimentary and basaltic volcanic rocks; metamorphosed,2775.0,2775.0,"conglomerate,basaltoid","64,67"
Bertibubba Supersuite,Granite and metagranitic rocks,1961.0,1945.0,"granite,granitoid","101,89"
Big Bell Suite,"monzogranite, dolerite",2690.0,2686.0,"granodiorite, monzogranite, syenogranite, dolerite, granite, migmatite",-1
Bililly Formation,"Medium- to coarse-grained arkosic sandstone, locally pebbly, overlain by micaceous siltstone to silty sandstone",1000.0,541.0,"sandstone,mudstone,sandstone","101,101,101"
Billeranga Subgroup,"Sandstone, siltstone, basalt and volcaniclastic sandstone",1600.0,1000.0,"sandstone,mudstone,basalt,sandstone","101,101,101,101"
Billinooka Inlier granitic unit,Granite to granodiorite; metamorphosed and variably foliated,3530.0,2895.0,"granite,granodiorite","101,101"
Bindoo Sandstone,Ultramafic volcanic rock; metamorphosed,443.4,358.9,ultrabasic_volcanic_rock,65
Binneringie Dyke,Dolerite and gabbro; includes cumulate and granophyric differentiates,2420.0,2400.0,"dolerite,gabbro,felsic","101,101,65"
Biranup Zone metagranitic unit,Granitic gneiss interlayered with mafic amphibolite,1806.0,1600.0,"garnetite, micaite, hornblendite, syenogranite, unclassified_rock, acid_plutonic_rock, gabbroid, monzogranite, gabbro, vein, pyroxenite, granodiorite, dioritoid, granitoid, granite, gneiss, migmatite, intermediate, amphibolite","101,101"
Birrindudu Group,"Sandstone, lesser siltstone, shale, and conglomerate; minor stromatolitic chert, limestone",1735.0,1640.0,"sandstone,mudstone,mudstone,conglomerate,chert,limestone","101,101,101,101,101,000"
Bishop Creek Monzogranite,Biotite monzogranite to granodiorite and syenogranite; fine to coarse grained; locally seriate and porphyritic; rare pegmatite dykes; weakly metamorphosed,3246.0,3223.0,"monzogranite,granodiorite,syenogranite,pegmatite","101,101,101,100"
Bitter Springs Group,"Dolomite, stromatolitic dolomite, siltstone, sandstone; evaporitic in subsurface",1000.0,720.0,"dolostone,dolostone,mudstone,sandstone,evaporite","101,101,101,101,60"
Black Dragon Gneiss,Metagranodiorite and metadiorite; may include remnants of Archean rocks and Tropicana Gneiss,1815.0,1790.0,"granodiorite,diorite,intermediate,gneiss","101,101,49,101"
Black Hill Well Monzogranite,Weakly foliated monzogranite; leucocratic veins; metamorphosed,3018.0,3018.0,"monzogranite,vein","101,101"
Black Range Dolerite Suite,Dolerite dyke; local gabbro; weakly metamorphosed,2772.0,2772.0,"dolerite,gabbro","100,101"
Blina Shale,Siltstone and shale; minor phosphatic horizons,252.17,247.2,"mudstone,mudstone,phosphate","101,101,59"
Bloods Range Formation,"Metamorphosed sandstone and siltstone, and felsic and mafic schist derived from volcanic rock",1085.0,1040.0,"sandstone,mudstone,felsic,schist","101,101,101,100"
Bobbie Point Metasyenogranite,"Metasyenogranite; weakly foliated to mylonitic; includes minor mingled mafic rocks and rafts of banded iron-formation; may include remnants of McKay Creek Metasyenogranite, and Tropicana or Hercules Gneiss",1708.0,1708.0,"syenogranite,mylonite,mafic,syenogranite,gneiss","101,82,100,101,101"
Bonney Downs Monzogranite,Monzogranite; medium grained; locally sparsely porphyritic; locally muscovite bearing,2838.0,2838.0,monzogranite,101
Booanya Suite,Undeformed to weakly deformed granites; typically porphyritic,1198.0,1140.0,granite,101
Boobina Porphyry,Porphyritic fine-grained monzogranite; minor hornblende; weakly metamorphosed,3324.0,3307.0,"monzogranite,hornblendite","101,91"
Bookargemoona Tonalite,Metamorphosed biotite tonalite; foliated to gneissic; local xenoliths of amphibolite,3427.0,3427.0,"tonalite,gneiss,amphibolite","101,86,101"
Boolgeeda Iron Formation,"Fine-grained, finely laminated iron-formation, mudstone, siltstone, and chert; metamorphosed",2445.0,2445.0,"lamalginite,mudstone,mudstone,chert","61,101,101,101"
Boondawari Formation,"Diamictite, conglomerate, sandstone, siltstone, dolomite; fluvial, coastal and fluvioglacial origin",720.0,541.0,"diamictite,conglomerate,sandstone,mudstone,dolostone,alluvium,coal,glacial_diamicton","101,101,101,101,101,80,73,54"
Boongal Formation,"Pillowed and massive basaltic flows with basaltic breccia, siltstone and mudstone; minor chert; metamorphosed",2745.0,2730.0,"basalt,breccia,mudstone,mudstone,chert","75,101,101,101,101"
Bottle Creek Microgranite,Feldspar- and quartz-phyric microgranite; metamorphosed,2700.0,2700.0,"metasomatic_rock,monzogranite","59,75"
Bradley Basalt,"Pillow basalt, massive basalt, dolerite sills, and minor felsic tuff, sandstone, shale and chert; metamorphosed",3118.0,3115.0,"basalt,basalt,dolerite,tuff,sandstone,mudstone,chert","80,101,100,101,101,100,000"
Brassey Range Formation,Sandstone; lesser siltstone and shale,1229.0,1080.0,"sandstone,mudstone,mudstone","101,101,101"
Bresnahan Group,"Sandstone, pebbly sandstone, pebble- to boulder-conglomerate, and siltstone",1786.0,1610.0,"sandstone,sandstone,gravel,mudstone","101,101,92,101"
Bridget Suite,Hornblende monzogranite and granodiorite,1803.0,1803.0,"monzogranite,granodiorite","101,101"
Brill Monzogranite,"Porphyritic monzogranite and lesser granodiorite; microcline phenocrysts, weakly foliated; metamorphosed",3000.0,2982.0,"monzogranite,granodiorite,micrite","101,101,71"
Broadhurst Formation,"Carbonaceous shale and siltstone, pyritic and pyrrhotitic shale, siltstone, and fine-grained sandstone",911.0,650.0,"mudstone,mudstone,massive_sulphide,mudstone,mudstone,sandstone","101,101,77,101,101,101"
Brockman Iron Formation,"Banded iron-formation, chert, mudstone, and siltstone; metamorphosed",2494.0,2451.0,"bituminous_coal,chert,mudstone,mudstone","71,101,101,101"
Broome  Mowla and Melligo Sandstones,Fine- to coarse-grained sandstone; minor mudstone and conglomerate,145.0,113.0,"sandstone,mudstone,conglomerate","101,101,101"
Brownrigg Sandstone,"Quartz sandstone, fine to coarse grained, moderately to well sorted, flaggy to cross-bedded; scattered pebbles of vein quartz",1000.0,635.0,"sandstone,vein","101,101"
Browns Range Metamorphics,Feldspathic psammite and subordinate psephite; amphibolite to granulite facies,1874.0,1838.0,"feldspathic_arenite,tephrite,amphibolite,granulite","81,75,101,100"
Buddadoo Gabbro,"gabbro, magnetitite, diorite",2813.0,2813.0,"gabbro, magnetitite, diorite",-1
Budjan Creek Formation,Siliciclastic and felsic volcaniclastic rocks; local basalt; metamorphosed,3228.0,3190.0,"siliciclastic_sediment,felsic,basalt","74,100,101"
Buldya Group,"Undivided sedimentary rocks; sandstone, siltstone, shale, dolomite, limestone, evaporites (halite, gypsum, anhydrite) in subsurface and diapirs",1000.0,720.0,"iron_sediment,sandstone,mudstone,mudstone,dolostone,limestone,evaporite,diaphthorite","58,101,101,101,101,101,100,56"
Buldya Group  lower,"Siltstone, limestone, dolomite, sandstone, evaporites in subsurface and diapirs, basal sandstone; includes Townsend Quartzite, Lefroy Formation, and Browne Formation",1000.0,720.0,"mudstone,limestone,dolostone,sandstone,evaporite,diaphthorite,sandstone,quartzite","101,101,101,101,100,56,101,101"
Buldya Group  upper,"Siltstone, sandstone, dolomite, limestone, evaporites (halite, gypsum, anhydrite) in subsurface and diapirs; stromatolitic; includes Hussar, Kanpa, and Steptoe Formations",850.0,720.0,"mudstone,sandstone,dolostone,limestone,evaporite,diaphthorite,migmatite,hornfels","101,101,101,101,100,56,78,60"
Bullgarina Monzogranite,Biotite(--muscovite) monzogranite; medium to coarse grained; weakly metamorphosed,3274.0,3224.0,monzogranite,101
Bullock Hide Intrusion,"Gabbro, leucogabbro, serpentinized peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed",3122.0,3122.0,"gabbro,dolerite,peridotite,dacite,pyroxenite,anorthosite","101,73,101,80,101,101"
Bunbury Basalt,Porphyritic and microporphyritic basalt in multiple flows; minor dolerite and basalt sills,132.0,123.0,"basalt,dolerite,basalt","100,101,100"
Bungarra Igneous Complex,Layered mafic and ultramafic intrusive rocks; metamorphosed,2820.0,2735.0,coarse_grained_plutonic_crystalline_igneous_rock,100
Bungle Bungle Dolomite,"Dolarenite, dololutite, and dolorudite and chert breccia; commonly stromatolitic; minor dolomitic sandstone, siltstone, mudstone, and stromatolitic chert",1797.0,541.0,"arenite,dolostone,dolerite,breccia,migmatite,sandstone,mudstone,mudstone,chert","82,78,78,101,78,101,101,101,101"
Bunjinah Formation,Pillowed and massive basaltic flows; basaltic breccia and basaltic volcanic sandstone; minor chert; amygdaloidal basalt flows occur in upper parts of formation; metamorphosed,2718.0,2715.0,"basalt,breccia,sandstone,chert,basalt","75,101,101,101,100"
Burtville Terrane greenstones,Amphibolite,2960.0,2660.0,"basalt, ferruginous_deposits, chert, ultramafic_rock, mafic, conglomerate, coarse_grained_ultramafic_rock, gabbroid, monzogranite, mudstone, peridotite, volcaniclastic_mud, mud, gabbro, vein, pyroxenite, andesite, coarse_grained_plutonic_crystalline_igneous_rock, ultrabasic_volcanic_rock, schist, sandstone, dolerite, granitoid, granite, gneiss, serpentinite, amphibolite, felsic, bituminous_coal, sedimentary_rock, siliciclastic_sediment, iron_sediment, talc_rock, slate",101
Butcher Bird Monzogranite,Fine- to medium-grained monzogranite; typically granophyric; metamorphosed,2730.0,2730.0,"monzogranite,granodiorite","101,61"
Byro Group  lower,"Fine-grained, bioturbated sandstone overlying interbedded sandstone, siltstone, and mudstone",286.0,272.3,"sandstone,sandstone,mudstone,mudstone","100,101,101,101"
Byro Group  middle,Black shale and siltstone overlain by fine-grained sandstone; hummocky and swaley cross-stratified,283.5,272.3,"mudstone,mudstone,sandstone","101,101,101"
Byro Group  upper,"Intercalated siltstone, shale, and sandstone",283.5,272.3,"mudstone,mudstone,sandstone","101,101,101"
Cadda Formation,"Grey shale, siltstone and sandstone; scattered carbonate lenses",170.3,166.1,"mudstone,mudstone,sandstone,carbonate","101,101,101,100"
Cadjebut Formation,"Siltstone, shale, dolomite, evaporites (leached in outcrop), and sandstone",387.7,382.7,"mudstone,mudstone,dolostone,evaporite,sandstone","101,101,101,101,101"
Caines Monzogranite,Biotite(--hornblende) monzogranite; foliated; local xenoliths of granitic gneiss; metamorphosed,2990.0,2990.0,"monzogranite,gneiss","101,101"
Callawa Formation,"Very fine-grained to coarse-grained sandstone, and conglomerate",145.0,113.0,"sandstone,conglomerate","101,101"
Callina Supersuite,Metadiorite to metasyenogranite; massive to gneissic,3484.0,3462.0,"diorite,syenogranite,gneiss","101,101,86"
Callytharra Formation,"Fossiliferous, calcareous siltstone to calcisiltite; interbedded, hard, fossiliferous calcarenite",295.0,290.1,"siliceous_ooze,mudstone,calcilutite,calcarenite","59,101,87,101"
Cambrian--Ordovician sedimentary rocks  Ord Basin,"Sandstone, siltstone, limestone",510.0,470.0,"sandstone,mudstone,limestone","101,101,101"
Cambrian--Ordovician sedimentary siliciclastic units  Amadeus Basin,"Siltstone and mudstone, sandstone, conglomerate, minor dolomite, shallow marine to fluvial",541.0,443.4,"mudstone,mudstone,sandstone,conglomerate,dolostone,alluvium","101,101,101,101,101,80"
Camel Hills Metamorphics,"Pelite, calc-silicate rock, quartzite, metamorphosed banded iron-formation and amphibolite",2001.0,1955.0,"mudstone,fine_crystalline_sedimentary,quartzite,amphibolite","101,101,101,101"
Campbell Well Granodiorite,Biotite granodiorite; medium to coarse grained; foliated; weakly metamorphosed,3310.0,3310.0,granodiorite,101
Capricorn Group,"Ferruginous lithic and dolomitic quartz sandstone, ferruginous siltstone and mudstone, conglomerate, dolostone, and felsic volcanic rock",1804.0,1738.0,"ferruginous_deposits,sandstone,mudstone,mudstone,conglomerate,dolostone,felsic","68,101,101,101,101,100,000"
