,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Lithologies,Scores
359,475,1209857,0,3.3,20cm puggy clays light grey - core loss 3.1m                                                                                                                                                                                                              ,mud,100,mud,sediment_clastic,sediment,mud,100
360,475,1209857,4,11.0,MOTTLED SANDSTONE LATERISED MED - COARSE GRAINES                                                                                                                                                                                                          ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
361,475,1209857,23,34.7,COARSE YELLOW SAND STONE CLEAN GRAIN SUPPORTED                                                                                                                                                                                                            ,sand,100,sand,sediment_clastic,sediment,lime_grainstone,49
362,475,1209857,34,47.5,MOTTLED PATCHY LATERITE VERY COARSE SANDSTONE MASSIVE - POSSIBLE AQUIFER GRITTY ROUND - SUB ANGULAR                                                                                                                                                       ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
363,475,1209857,47,57.3,MED - VERY COARSE SANDSTONE CLAYEY ZONE WEAK LATERISATION PEBBLE BAND 55.8  CORE LOSS                                                                                                                                                                     ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
364,475,1209857,72,85.6,LAMINATED SANDSTONE WITH MUD BANDS - OX BANDS CRUMBLY - VERY COARSE SANDS AT BASE OXI BANDS 72.1-75 COARSE SANDS 76.9-78 84.1-85.6                                                                                                                        ,mud,100,mud,sediment_clastic,sediment,sand,101
365,475,1209857,85,86.15,fine grained white clays / silt chalky texture massive vminor orange staining/oxi  NO FIZZ                                                                                                                                                               ,mud,100,mud,sediment_clastic,sediment,mud,100
366,475,1209857,86,86.35,ORANGE CLAYS AT START INTERVAL GET MORE COMPACT WITH DEPTH TO SEMI HARD SLATE LIKE BEDDED SEDIMENT OXIDISED OR NO FIZZ                                                                                                                                    ,mud,100,mud,sediment_clastic,sediment,mud,100
367,475,1209857,86,90.4,WHITE FINE GRAINED SILTSTONE -NO FIZZ V MINOR LAYERS OF PINKISH OXIDATION. MINOR VERY FINE SANDS                                                                                                                                                          ,mudstone,100,mudstone,clastic,sedimentary_rock,sand,101
368,475,1209857,90,100.88,FG GREY MUD SILT STONE BEDDING PARALLEL FRACTURES SMALL WHITE MICAS ON BEDDING PLANES SOFT NO FIZZ                                                                                                                                                      ,mud,100,mud,sediment_clastic,sediment,mud,100
369,475,1209857,100,101.02,FG SHALE HARD INTERBED - TRANSITION ZONE FROM CLAYS TO SANDS - OXIDISED NO FIZZ                                                                                                                                                                           ,mud,100,mud,sediment_clastic,sediment,mud,100
370,475,1209857,101,101.9,FG YELLOW SANDS MASSIVE MINOR CLAY CONTENT - NO FIZZ - YELLOW PAVING SAND                                                                                                                                                                                 ,sand,101,sand,sediment_clastic,sediment,sand,101
371,475,1209857,101,104.2,BROWN SANDS MINOR CLAY COMPONENT MASSIVE SLIGHT BEDDING SEEN - COARSER UNIT AT BASE                                                                                                                                                                       ,mud,100,mud,sediment_clastic,sediment,mud,100
