,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
65539,2670,2470295,0.0,2.0,Stratigraphy,TransCover,38826142
65540,2670,2470295,8.0,10.0,Stratigraphy,TransCover,38826146
65541,2670,2470295,14.0,16.0,Stratigraphy,TransCover,38826149
65542,2670,2470295,24.0,26.0,Stratigraphy,TransCover,38826154
65543,2670,2470295,30.0,32.0,Stratigraphy,TransCover,38826157
65544,2670,2470295,38.0,40.0,Stratigraphy,TransCover,38826161
65545,2670,2470295,44.0,46.0,Stratigraphy,TransCover,38826164
65546,2670,2470295,56.0,58.0,Stratigraphy,TransCover,38826170
65547,2670,2470295,62.0,64.0,Stratigraphy,TransCover,38826173
65548,2670,2470295,70.0,72.0,Stratigraphy,TransCover,38826177
65549,2670,2470295,76.0,78.0,Stratigraphy,TransCover,38826180
65550,2670,2470295,86.0,88.0,Stratigraphy,TransCover,38826185
65551,2670,2470295,92.0,94.0,Stratigraphy,TransCover,38826188
65552,2670,2470295,100.0,102.0,Stratigraphy,Mt Newman,38826192
65553,2670,2470295,104.0,106.0,Stratigraphy,Mt Newman,38826195
65554,2670,2470295,112.0,114.0,Stratigraphy,Mt Newman,38826203
65555,2670,2470295,116.0,118.0,Stratigraphy,Mt Newman,38826206
65556,2670,2470295,120.0,122.0,Stratigraphy,Mt Newman,38826210
65557,2670,2470295,122.0,124.0,Stratigraphy,Mt Newman,38826213
65558,2670,2470295,128.0,130.0,Stratigraphy,Mt Newman,38826218
65559,2670,2470295,134.0,136.0,Stratigraphy,Mt Newman,38826221
65560,2670,2470295,138.0,140.0,Stratigraphy,Mt Newman,38826225
65561,2670,2470295,140.0,142.0,Stratigraphy,Mt Newman,38826228
65562,2670,2470295,146.0,148.0,Stratigraphy,Mt Newman,38826234
65563,2670,2470295,150.0,152.0,Stratigraphy,Mt Newman,38826237
65564,2670,2470295,154.0,156.0,Stratigraphy,Mt Newman,38826241
65565,2670,2470295,158.0,160.0,Stratigraphy,Mt Newman,38826244
65566,2670,2470295,168.0,170.0,Stratigraphy,Mt Newman,38826249
67481,2670,2470295,4.0,6.0,Stratigraphy,TransCover,38826144
67482,2670,2470295,32.0,34.0,Stratigraphy,TransCover,38826158
67483,2670,2470295,34.0,36.0,Stratigraphy,TransCover,38826159
67484,2670,2470295,46.0,48.0,Stratigraphy,TransCover,38826165
67485,2670,2470295,66.0,68.0,Stratigraphy,TransCover,38826175
67486,2670,2470295,80.0,82.0,Stratigraphy,TransCover,38826182
67487,2670,2470295,94.0,96.0,Stratigraphy,TransCover,38826189
67488,2670,2470295,104.0,106.0,Stratigraphy,Mt Newman,38826194
67489,2670,2470295,106.0,108.0,Stratigraphy,Mt Newman,38826196
67490,2670,2470295,132.0,134.0,Stratigraphy,Mt Newman,38826220
67491,2670,2470295,134.0,136.0,Stratigraphy,Mt Newman,38826222
67492,2670,2470295,140.0,142.0,Stratigraphy,Mt Newman,38826227
67493,2670,2470295,152.0,154.0,Stratigraphy,Mt Newman,38826239
67494,2670,2470295,162.0,164.0,Stratigraphy,Mt Newman,38826246
68320,2670,2470295,170.0,172.0,Stratigraphy,Mt Newman,38826250
68321,2670,2470295,158.0,160.0,Stratigraphy,Mt Newman,38826243
68322,2670,2470295,142.0,144.0,Stratigraphy,Mt Newman,38826229
68323,2670,2470295,136.0,138.0,Stratigraphy,Mt Newman,38826223
68324,2670,2470295,124.0,126.0,Stratigraphy,Mt Newman,38826215
68325,2670,2470295,120.0,122.0,Stratigraphy,Mt Newman,38826211
68326,2670,2470295,106.0,108.0,Stratigraphy,Mt Newman,38826197
68327,2670,2470295,102.0,104.0,Stratigraphy,Mt Newman,38826193
68328,2670,2470295,88.0,90.0,Stratigraphy,TransCover,38826186
68329,2670,2470295,74.0,76.0,Stratigraphy,TransCover,38826179
68330,2670,2470295,48.0,50.0,Stratigraphy,TransCover,38826166
68331,2670,2470295,40.0,42.0,Stratigraphy,TransCover,38826162
68332,2670,2470295,26.0,28.0,Stratigraphy,TransCover,38826155
68333,2670,2470295,12.0,14.0,Stratigraphy,TransCover,38826148
69915,2670,2470295,6.0,8.0,Stratigraphy,TransCover,38826145
69916,2670,2470295,22.0,24.0,Stratigraphy,TransCover,38826153
69917,2670,2470295,36.0,38.0,Stratigraphy,TransCover,38826160
69918,2670,2470295,54.0,56.0,Stratigraphy,TransCover,38826169
