from,to,lithology
0,1,Pelite
1,2,Sandstone
2,3,Gabbro
3,4,Sandstone
4,5,Pelite
5,6,Sandstone
6,7,Gabbro
7,8,Gabbro
8,9,Sandstone
9,10,Conglomerate
10,11,Conglomerate
11,12,Maf_Dyke_Sill
12,13,Maf_Dyke_Sill
13,14,Conglomerate
14,15,Maf_Dyke_Sill
15,16,Conglomerate
16,17,Conglomerate
17,18,Maf_Dyke_Sill
18,19,Conglomerate
19,20,Maf_Dyke_Sill
20,21,Conglomerate
21,22,Conglomerate
22,23,Pelite
23,24,Sandstone
24,25,Fels_Dyke_Sill
25,26,Sandstone
26,27,Pelite
27,28,Pelite
28,29,Sandstone
29,30,Pelite
30,31,Greywacke
31,32,Pelite
32,33,Sandstone
33,34,Sandstone
34,35,Fels_Dyke_Sill
35,36,Greywacke
36,37,Greywacke
37,38,Fels_Dyke_Sill
38,39,Fels_Dyke_Sill
39,40,Sandstone
40,41,Sandstone
41,42,Fels_Dyke_Sill
42,43,Sandstone
43,44,Pelite
44,45,Pelite
45,46,Pelite
46,47,Sandstone
47,48,Sandstone
48,49,Sandstone
49,50,Pelite
50,51,Greywacke
51,52,Pelite
52,53,Sandstone
53,54,Greywacke
54,55,Pelite
55,56,Fels_Dyke_Sill
56,57,Sandstone
57,58,Fels_Dyke_Sill
58,59,Sandstone
59,60,Greywacke
60,61,Greywacke
61,62,Greywacke
62,63,Greywacke
63,64,Pelite
64,65,Fels_Dyke_Sill
65,66,Fels_Dyke_Sill
66,67,Fels_Dyke_Sill
67,68,Fels_Dyke_Sill
68,69,Fels_Dyke_Sill
69,70,Phyllite
70,71,Fels_Dyke_Sill
71,72,Fels_Dyke_Sill
72,73,Fels_Dyke_Sill
73,74,Fels_Dyke_Sill
74,75,Fels_Dyke_Sill
75,76,Fels_Dyke_Sill
76,77,Phyllite
77,78,Phyllite
78,79,Phyllite
79,80,Phyllite
80,81,Fels_Dyke_Sill
81,82,Fels_Dyke_Sill
82,83,Phyllite
83,84,Fels_Dyke_Sill
84,85,Fels_Dyke_Sill
85,86,Fels_Dyke_Sill
86,87,Fels_Dyke_Sill
87,88,Phyllite
88,89,Fels_Dyke_Sill
89,90,Fels_Dyke_Sill
90,91,Fels_Dyke_Sill
91,92,Phyllite
92,93,Phyllite
93,94,Phyllite
94,95,Phyllite
95,96,Phyllite
96,97,Phyllite
97,98,Phyllite
98,99,Phyllite
99,100,Fels_Dyke_Sill
100,101,Fels_Dyke_Sill
101,102,Phyllite
102,103,Phyllite
103,104,Sandstone
104,105,Pelite
105,106,Pelite
106,107,Sandstone
107,108,Fels_Dyke_Sill
108,109,Fels_Dyke_Sill
109,110,Sandstone
110,111,Pelite
111,112,Fels_Dyke_Sill
112,113,Sandstone
113,114,Pelite
114,115,Sandstone
115,116,Fels_Dyke_Sill
116,117,Pelite
117,118,Fels_Dyke_Sill
118,119,Pelite
119,120,Fels_Dyke_Sill
120,121,Fels_Dyke_Sill
121,122,Fels_Dyke_Sill
122,123,Sandstone
123,124,Sandstone
124,125,Sandstone
125,126,Fels_Dyke_Sill
126,127,Sandstone
127,128,Fels_Dyke_Sill
128,129,Sandstone
129,130,Phyllite
130,131,Greywacke
131,132,Phyllite
132,133,Greywacke
133,134,Greywacke
134,135,Phyllite
135,136,Phyllite
136,137,Greywacke
137,138,Phyllite
138,139,Greywacke
139,140,Phyllite
140,141,Greywacke
141,142,Greywacke
142,143,Greywacke
143,144,Greywacke
144,145,Greywacke
145,146,Greywacke
146,147,Phyllite
147,148,Peridotite
148,149,Fels_Dyke_Sill
149,150,Maf_Dyke_Sill
150,151,Peridotite
151,152,Peridotite
152,153,Peridotite
153,154,Maf_Dyke_Sill
154,155,Maf_Dyke_Sill
155,156,Peridotite
156,157,Peridotite
157,158,Peridotite
158,159,Maf_Dyke_Sill
159,160,Peridotite
160,161,Fels_Dyke_Sill
161,162,Fels_Dyke_Sill
162,163,Maf_Dyke_Sill
163,164,Peridotite
164,165,Peridotite
165,166,Fels_Dyke_Sill
166,167,Fels_Dyke_Sill
167,168,Maf_Dyke_Sill
